,Name,,,,,,,,,,,,,,,,,,,,,,,,,,
1,伊什塔尔祭2019,凶骨*3,万死的毒针*3,凤凰羽毛*2,大骑士勋章*2,,,,,,,,,,,,,,,,,,,,,,
2,圣诞2019,虚影之尘*3,八连双晶*2,蛇之宝玉*2,人工生命体幼体*2,,,,,,,,,,,,,,,,,,,,,,
3,圣诞节2018 圣桑巴之夜 ～降雪的遗迹与少女骑士～,凶骨*3,龙之牙*3,八连双晶*2,陨蹄铁*2,量子*448,剑之辉石*2,弓之辉石*2,枪之辉石*2,骑之辉石*2,术之辉石*2,杀之辉石*2,狂之辉石*2,剑之魔石*2,弓之魔石*2,枪之魔石*2,骑之魔石*2,术之魔石*2,杀之魔石*2,狂之魔石*2,剑之秘石*1,弓之秘石*1,枪之秘石*1,骑之秘石*1,术之秘石*1,杀之秘石*1,狂之秘石*1
4,Battle in New York 2018,英雄之证*3,虚影之尘*3,蛇之宝玉*2,人工生命体幼体*2,量子*447,剑之辉石*2,弓之辉石*2,枪之辉石*2,骑之辉石*2,术之辉石*2,杀之辉石*2,狂之辉石*2,剑之魔石*2,弓之魔石*2,枪之魔石*2,骑之魔石*2,术之魔石*2,杀之魔石*2,狂之魔石*2,剑之秘石*1,弓之秘石*1,枪之秘石*1,骑之秘石*1,术之秘石*1,杀之秘石*1,狂之秘石*1
5,复刻：达芬奇与七位赝作英灵 轻量版 伪手稿,凶骨*4,虚影之尘*4,蛇之宝玉*2,禁断书页*2,量子*544,骑阶银棋*4,术阶银棋*4,杀阶银棋*4,狂阶银棋*4,骑阶金像*2,术阶金像*2,杀阶金像*2,狂阶金像*2,,,,,,,,,,,,,
6,复刻：达芬奇与七位赝作英灵 轻量版 真手稿,英雄之证*4,龙之牙*4,八连双晶*2,陨蹄铁*2,量子*544,剑阶银棋*4,弓阶银棋*4,枪阶银棋*4,剑阶金像*2,弓阶金像*2,枪阶金像*2,,,,,,,,,,,,,,,
7,冥界的圣诞快乐,魔术髓液*3,世界树之种*3,鬼魂提灯*2,人工生命体幼体*2,量子*445,剑之辉石*2,弓之辉石*2,枪之辉石*2,骑之辉石*2,术之辉石*2,杀之辉石*2,狂之辉石*2,剑之魔石*2,弓之魔石*2,枪之魔石*2,骑之魔石*2,术之魔石*2,杀之魔石*2,狂之魔石*2,剑之秘石*1,弓之秘石*1,枪之秘石*1,骑之秘石*1,术之秘石*1,杀之秘石*1,狂之秘石*1
8,尼禄祭再临～2018 Autumn～,英雄之证*3,愚者之锁*3,禁断书页*2,大骑士勋章*2,,,,,,,,,,,,,,,,,,,,,,
9,第二代是Alter亲 ～2017圣诞节～,凶骨*4,虚影之尘*4,八连双晶*3,蛇之宝玉*3,,,,,,,,,,,,,,,,,,,,,,
10,尼禄祭再临 ～2017 Autumn～,愚者之锁*4,鬼魂提灯*2,无间齿轮*2,大骑士勋章*3,,,,,,,,,,,,,,,,,,,,,,
11,达芬奇与七位赝作英灵 伪手稿,,,,,,,,,,,,,,,,,,,,,,,,,,
12,达芬奇与七位赝作英灵 真手稿,英雄之证*4,凶骨*4,龙之牙*4,虚影之尘*4,八连双晶*2,蛇之宝玉*2,禁断书页*2,陨蹄铁*2,,,,,,,,,,,,,,,,,,
13,大约一周的圣诞Alter小姐,英雄之证*5,凶骨*5,龙之牙*5,虚影之尘*5,,,,,,,,,,,,,,,,,,,,,,
